x,y,curasd
1.19582085e+00,-8.19985000e-03,-1.29598326e-02
1.20703290e+00,-8.34744400e-03,-8.60165267e-03
1.21939431e+00,-8.51153100e-03,-6.70682160e-03
1.23160995e+00,-8.67439100e-03,-8.05113630e-03
1.24390018e+00,-8.83966800e-03,-1.26898790e-02
1.25455144e+00,-8.98427400e-03,-1.17708537e-02
1.26772623e+00,-9.16530300e-03,-6.76868205e-03
1.28024383e+00,-9.33843800e-03,-5.76021609e-03
1.29174595e+00,-9.49807700e-03,-6.74404512e-03
1.30499309e+00,-9.68286000e-03,-1.35968883e-02
1.31709610e+00,-9.85349800e-03,-8.13191992e-03
1.33596752e+00,-1.01233020e-02,-1.11277322e-02
1.34159065e+00,-1.02045570e-02,-1.66182267e-02
1.35428740e+00,-1.03890560e-02,-4.58299658e-03
1.36656023e+00,-1.05680860e-02,-6.73614272e-03
1.37902842e+00,-1.07511530e-02,-6.47068957e-03
1.39136072e+00,-1.09332650e-02,-5.30535698e-03
1.40376740e+00,-1.11172010e-02,-3.62619169e-03
1.41649109e+00,-1.13065730e-02,-1.25647971e-03
1.42903221e+00,-1.14933510e-02,-2.96760831e-03
1.44151256e+00,-1.16790620e-02,-8.11717246e-03
1.45408222e+00,-1.18681620e-02,-6.09461327e-03
1.46728382e+00,-1.20678650e-02,-2.21073485e-04
1.48013026e+00,-1.22620790e-02,1.24087142e-03
1.49450872e+00,-1.24788010e-02,-8.85200299e-04
1.50586023e+00,-1.26502750e-02,-7.37641025e-03
1.51842215e+00,-1.28403620e-02,-5.90156146e-03
1.53643970e+00,-1.31160130e-02,-6.87020305e-03
1.54565607e+00,-1.32580160e-02,-5.74622725e-03
1.55680142e+00,-1.34301510e-02,3.08114873e-03
1.56884573e+00,-1.36156590e-02,3.46918656e-03
1.58158644e+00,-1.38108500e-02,-3.26738718e-04
1.59472529e+00,-1.40124870e-02,-2.82408730e-03
1.60767671e+00,-1.42117820e-02,-3.11322563e-03
1.62053873e+00,-1.44102220e-02,-1.87911033e-03
1.63392967e+00,-1.46172960e-02,-2.80184118e-05
1.64646303e+00,-1.48109650e-02,-2.09647058e-03
1.65941689e+00,-1.50109920e-02,-6.81564999e-03
1.67231759e+00,-1.52119930e-02,-6.15339056e-03
1.68625951e+00,-1.54302690e-02,-2.81225495e-03
1.70148471e+00,-1.56691980e-02,-1.51439446e-03
1.71240618e+00,-1.58410300e-02,-1.15252441e-03
1.72409859e+00,-1.60244880e-02,-4.28397573e-03
